conta,num_funcao,nome_funcao
Telecomunicações,24,Comunicações
FU24 - Administração Geral,24,Comunicações
FU24 - Demais Subfunções,24,Comunicações
Energia,25,Energia
Conservação de Energia,25,Energia
Energia Elétrica,25,Energia
Combustíveis Minerais,25,Energia
Biocombustíveis,25,Energia
FU25 - Administração Geral,25,Energia
FU25 - Demais Subfunções,25,Energia
Transporte,26,Transporte
Transporte Aéreo,26,Transporte
Transporte Rodoviário,26,Transporte
Transporte Ferroviário,26,Transporte
Transporte Aquaviário,26,Transporte
Transportes Especiais,26,Transporte
FU26 - Administração Geral,26,Transporte
FU26 - Demais Subfunções,26,Transporte
Desporto e Lazer,27,Desporto e Lazer
Desporto de Rendimento,27,Desporto e Lazer
Desporto Comunitário,27,Desporto e Lazer
Lazer,27,Desporto e Lazer
FU27 - Administração Geral,27,Desporto e Lazer
FU27 - Demais Subfunções,27,Desporto e Lazer
Encargos Especiais,28,Encargos Especiais
Refinanciamento da Dívida Interna,28,Encargos Especiais
Refinanciamento da Dívida Externa,28,Encargos Especiais
Serviço da Dívida Interna,28,Encargos Especiais
Serviço da Dívida Externa,28,Encargos Especiais
Outras Transferências,28,Encargos Especiais
Outros Encargos Especiais,28,Encargos Especiais
Transferências para a Educação Básica,28,Encargos Especiais
FU28 - Administração Geral,28,Encargos Especiais
FU28 - Demais Subfunções,28,Encargos Especiais
